"ticker","company","price","date"
"NIC","NIC Bank Limited","23.25","2020-10-16"
"NMG","Nation Media Group","15.75","2020-10-16"
"NSE","Nairobi Securities Exchange Limited","8.42","2020-10-16"
"OCH","Olympia Capital Holdings Limited","2.30","2020-10-16"
"ORCH","Kenya Orchards Limited","11.05","2020-10-16"
"PAFR","Sanlam Kenya Plc","12.70","2020-10-16"
"PORT","East African Portland Cement Co. Ltd","16.00","2020-10-16"
"SASN","Sasini Tea and Coffee Limited","19.00","2020-10-16"
"SCAN","ScanGroup Limited","6.96","2020-10-16"
"SCBK","Standard Chartered Bank Limited","160.00","2020-10-16"
"SCOM","Safaricom Limited","30.05","2020-10-16"
"SGL","Standard Group Limited","18.65","2020-10-16"
"TCL","Trans Century Limited","1.58","2020-10-16"
"TOTL","Total Kenya Limited","24.50","2020-10-16"
"TPSE","TPS Eastern Africa (Serena) Limited","14.65","2020-10-16"
"UCHM","Uchumi Supermarket Limited","0.30","2020-10-16"
"UMME","Umeme Limited","6.90","2020-10-16"
"UNGA","Unga Group Limited","30.65","2020-10-16"
"WTK","Williamson Tea Kenya Limited","140.00","2020-10-16"
"XPRS","Express Kenya Limited","4.50","2020-10-16"
"ABSA","Absa Bank Kenya Plc","9.62","2020-10-17"
"ARM","ARM Cement Limited","5.55","2020-10-17"
"BAMB","Bamburi Cement Limited","23.30","2020-10-17"
"BAT","British American Tobacco (Kenya) Ltd.","349.00","2020-10-17"
"BERG","Crown Paints Kenya Limited","42.45","2020-10-17"
"BKG","Bank of Kigali Group Limited","13.75","2020-10-17"
"BOC","BOC Kenya Limited","57.00","2020-10-17"
"BRIT","Britam Holdings Limited","7.50","2020-10-17"
"C&G","Car and General (Kenya) Limited","24.00","2020-10-17"
"CABL","East African Cables Limited","1.47","2020-10-17"
"CARB","Carbacid Investments Limited","8.78","2020-10-17"
"CFC","Stanbic Holdings Limited","77.00","2020-10-17"
"CFCI","Liberty Kenya Holdings Limited","8.00","2020-10-17"
"CIC","CIC Insurance Group Limited","2.24","2020-10-17"
"COOP","Co-operative Bank of Kenya Limited","11.80","2020-10-17"
"DCON","Deacons (East Africa) Plc","0.45","2020-10-17"
"DTK","Diamond Trust Bank Kenya Limited","63.00","2020-10-17"
"EABL","East African Breweries Limited","163.00","2020-10-17"
"EGAD","Eaagads Limited","13.25","2020-10-17"
"EQTY","Equity Group Holdings Limited","34.95","2020-10-17"
"EVRD","Eveready East Africa Limited","0.97","2020-10-17"
"FAHR","STANLIB Fahari Income REIT","5.36","2020-10-17"
"FIRE","Sameer Africa Limited","3.50","2020-10-17"
"FTGH","Flame Tree Group Holdings Limited","1.30","2020-10-17"
